,name,search_query,occupation,nationality,birth_year,wikipedia_birth_year,citation,Prompt1
514,Amy Holden Jones,Amy Holden Jones,"film producer executive producer/creator television editor , screenwriter , film director , film",united states,1955,1955,22,"Amy Holden Jones was a united states film producer executive producer/creator television editor , screenwriter , film director , film. When was Amy Holden Jones born."
515,Keith Larsen,Keith Larsen,actor,american,1924,1924,18,Keith Larsen was a american actor. When was Keith Larsen born.
516,Amber Rose Revah,Amber Rose Revah,actress,english,1986,1986,0,Amber Rose Revah was a english actress. When was Amber Rose Revah born.
517,Anne-Cath . Vestly,Anne-Cath Vestly,children 's book author,norwegian,1920,1920,0,Anne-Cath . Vestly was a norwegian children 's book author. When was Anne-Cath . Vestly born.
518,William Gooderham,"William Gooderham, Sr.","distiller , businessman , and banker",canadian,1790,1790,0,"William Gooderham was a canadian distiller , businessman , and banker. When was William Gooderham born."
519,Jon Harris,Jon Harris (director),"film editor , film director",british,1967,1967,0,"Jon Harris was a british film editor , film director. When was Jon Harris born."
520,Louis Svećenski,Louis Svećenski,"violist , violinists",croat,1862,1862,17,"Louis Svećenski was a croat violist , violinists. When was Louis Svećenski born."
521,Raymundo Gómez Flores,Raymundo Gómez Flores,politician,mexican,1952,1952,1,Raymundo Gómez Flores was a mexican politician. When was Raymundo Gómez Flores born.
522,Bagley Wright,Bagley Wright,philanthropist,american,1924,1924,15,Bagley Wright was a american philanthropist. When was Bagley Wright born.
523,Rick Day,Rick Day,photographer,american,1962,1962,14,Rick Day was a american photographer. When was Rick Day born.
524,Ronald Milner,Ron Milner,playwright,usa american,1938,1938,11,Ronald Milner was a usa american playwright. When was Ronald Milner born.
525,Pierre Jonckheer,Pierre Jonckheer,"politician , economist",belgium,1951,1951,3,"Pierre Jonckheer was a belgium politician , economist. When was Pierre Jonckheer born."
526,Birendra Krishna Bhadra বীরেন্দ্রকৃষ্ণ ভদ্র,Birendra Krishna Bhadra,"broadcaster , playwright , actor , theatre director",indian,1905,1905,12,"Birendra Krishna Bhadra বীরেন্দ্রকৃষ্ণ ভদ্র was a indian broadcaster , playwright , actor , theatre director. When was Birendra Krishna Bhadra বীরেন্দ্রকৃষ্ণ ভদ্র born."
527,Isabel Paterson,Isabel Paterson,"novelist , journalist , philosopher , literary critic",canadian/american,1886,1886,22,"Isabel Paterson was a canadian/american novelist , journalist , philosopher , literary critic. When was Isabel Paterson born."
528,Solveig Horne,Solveig Horne,politician,norwegian,1969,1969,15,Solveig Horne was a norwegian politician. When was Solveig Horne born.
529,John Ilhan,John Ilhan,owner of crazy john 's,turkish,1965,1965,16,John Ilhan was a turkish owner of crazy john 's. When was John Ilhan born.
530,Pedro Pablo Cepeda Sierra,Pedro Pablo Cepeda Sierra,politician,mexican,1966,1966,1,Pedro Pablo Cepeda Sierra was a mexican politician. When was Pedro Pablo Cepeda Sierra born.
531,Artin Poturlyan,Artin Poturlyan,composer,bulgarian,1943,1943,0,Artin Poturlyan was a bulgarian composer. When was Artin Poturlyan born.
532,Anurag Anand,Anurag Anand,"novelist , author , banker , marketer",indian,1978,1978,42,"Anurag Anand was a indian novelist , author , banker , marketer. When was Anurag Anand born."
533,Mohan Chopra,Mohan Chopra,intellectual and author,punjabi,1921,1921,18,Mohan Chopra was a punjabi intellectual and author. When was Mohan Chopra born.
534,Joe S. Jackson,Joe S. Jackson,sportswriter,american,1871,1871,20,Joe S. Jackson was a american sportswriter. When was Joe S. Jackson born.
535,Gabriela Zapolska,Gabriela Zapolska,"novelist , publicist , playwright , prosaist",polish,1857,1857,12,"Gabriela Zapolska was a polish novelist , publicist , playwright , prosaist. When was Gabriela Zapolska born."
536,Edmund Gwenn,Edmund Gwenn,actor,british,1877,1877,42,Edmund Gwenn was a british actor. When was Edmund Gwenn born.
537,Dagfinn Aarskog,Dagfinn Aarskog,physician,norwegian,1928,1928,2,Dagfinn Aarskog was a norwegian physician. When was Dagfinn Aarskog born.
538,David Avison,David Avison,photographer and physicist,american,1937,1937,6,David Avison was a american photographer and physicist. When was David Avison born.
539,Bridget Kendall,Bridget Kendall,journalist,british,1956,1956,17,Bridget Kendall was a british journalist. When was Bridget Kendall born.
540,William Lennon,William Lennon,"company director , business manager , clerk",irish australian,1849,1849,20,"William Lennon was a irish australian company director , business manager , clerk. When was William Lennon born."
541,Toshio Fujiwara,Toshio Fujiwara,president martialarts directors of toshio fujiwara sports gym president of japan,jpn japanese,1948,1948,9,Toshio Fujiwara was a jpn japanese president martialarts directors of toshio fujiwara sports gym president of japan. When was Toshio Fujiwara born.
542,Joseph E. Hasten,Joseph E. Hasten,business executive,american,1952,1952,12,Joseph E. Hasten was a american business executive. When was Joseph E. Hasten born.
543,Stephanie Sinclair,Stephanie Sinclair,photojournalist,american,1973,1973,21,Stephanie Sinclair was a american photojournalist. When was Stephanie Sinclair born.
544,Ricardo López Pescador,Ricardo López Pescador,politician,mexican,1964,1964,1,Ricardo López Pescador was a mexican politician. When was Ricardo López Pescador born.
545,Peter N. Stearns,Peter Stearns,professor,american,1936,1936,3,Peter N. Stearns was a american professor. When was Peter N. Stearns born.
546,G. D. Spradlin,G. D. Spradlin,actor,american,1920,1920,13,G. D. Spradlin was a american actor. When was G. D. Spradlin born.
547,Thorvald Steen,Thorvald Steen,"author , novelist",norwegian,1954,1954,0,"Thorvald Steen was a norwegian author , novelist. When was Thorvald Steen born."
548,Ronald Meyer,Ronald Meyer,agent,american,1944,1944,31,Ronald Meyer was a american agent. When was Ronald Meyer born.
549,Branko Benzon,Branko Benzon,"diplomat , politician",croat,1903,1903,4,"Branko Benzon was a croat diplomat , politician. When was Branko Benzon born."
550,John Abel,John Abel (politician),accountant,australian,1939,1939,4,John Abel was a australian accountant. When was John Abel born.
551,Mari Hoshino,Mari Hoshino,"actor , singer",japanese,1981,1981,16,"Mari Hoshino was a japanese actor , singer. When was Mari Hoshino born."
552,Carole Wilkinson,Carole Wilkinson,author,english,1950,1950,4,Carole Wilkinson was a english author. When was Carole Wilkinson born.
553,Stanley A. Dashew,Stanley Dashew,"entrepreneur , inventor , industrialist , photojournalist",american,1916,1916,16,"Stanley A. Dashew was a american entrepreneur , inventor , industrialist , photojournalist. When was Stanley A. Dashew born."
554,Andrzej Tadeusz Kijowski,Andrzej Tadeusz Kijowski,"director , poet , author , political activist",poland,1954,1954,1,"Andrzej Tadeusz Kijowski was a poland director , poet , author , political activist. When was Andrzej Tadeusz Kijowski born."
555,Curme Gray,Curme Gray,novelist,united states,1910,1910,0,Curme Gray was a united states novelist. When was Curme Gray born.
556,Sun Myung Moon,Sun Myung Moon,"religious activist leader , businessperson , media mogul , political",korean,1920,1920,256,"Sun Myung Moon was a korean religious activist leader , businessperson , media mogul , political. When was Sun Myung Moon born."
557,Maurice Lefèvre,Maurice Lefèvre,"poet , playwright and songwriter",belgian,1863,1863,8,"Maurice Lefèvre was a belgian poet , playwright and songwriter. When was Maurice Lefèvre born."
558,Sergio Lobato García,Sergio Lobato García,politician,mexican,1955,1955,4,Sergio Lobato García was a mexican politician. When was Sergio Lobato García born.
559,James Hambro,James Hambro,"banker , businessman , philanthropist",british,1949,1949,18,"James Hambro was a british banker , businessman , philanthropist. When was James Hambro born."
560,Joan Carreras I Goicoechea,Joan Carreras i Goicoechea,writer and journalist,catalonia,1962,1962,12,Joan Carreras I Goicoechea was a catalonia writer and journalist. When was Joan Carreras I Goicoechea born.
561,Frank Bottrill,Frank Bottrill,"blacksmith , inventor",australian,1871,1871,35,"Frank Bottrill was a australian blacksmith , inventor. When was Frank Bottrill born."
562,Siraj Wahhaj,Siraj Wahhaj,islamic scholar,american,1950,1950,20,Siraj Wahhaj was a american islamic scholar. When was Siraj Wahhaj born.
563,Şamil Tayyar,Şamil Tayyar,"politician , journalist",turkish,1965,1965,2,"Şamil Tayyar was a turkish politician , journalist. When was Şamil Tayyar born."
564,Zinthia Benavides,Zinthia Benavides,politician,mexican,1969,1969,1,Zinthia Benavides was a mexican politician. When was Zinthia Benavides born.
565,Kanishtha Dhankar,Kanishtha Dhankar,model,indian,1988,1988,6,Kanishtha Dhankar was a indian model. When was Kanishtha Dhankar born.
566,Giedrė Beinoriūtė,Giedrė Beinoriūtė,filmmaker,lithuanian,1976,1976,7,Giedrė Beinoriūtė was a lithuanian filmmaker. When was Giedrė Beinoriūtė born.
567,Alana Dante,Alana Dante,singer,belgium,1969,1969,2,Alana Dante was a belgium singer. When was Alana Dante born.
568,Alasdair Milne,Alasdair Milne,television producer and controller,british,1930,1930,42,Alasdair Milne was a british television producer and controller. When was Alasdair Milne born.
569,Karin Fossum,Karin Fossum,novelist,norwegian,1954,1954,7,Karin Fossum was a norwegian novelist. When was Karin Fossum born.
570,Simpson Everett Stilwell,Simpson E. Stilwell,"u.s. army scout , lawman , judge",united states,1850,1850,37,"Simpson Everett Stilwell was a united states u.s. army scout , lawman , judge. When was Simpson Everett Stilwell born."
571,Laurent Sourisseau,Riss (cartoonist),"cartoonist , publishing director",french,1966,1966,5,"Laurent Sourisseau was a french cartoonist , publishing director. When was Laurent Sourisseau born."
572,Mayra Gisela Peñuelas Acuña,Mayra Gisela Peñuelas Acuña,politician,mexican,1963,1963,1,Mayra Gisela Peñuelas Acuña was a mexican politician. When was Mayra Gisela Peñuelas Acuña born.
573,Thomas Scholfield,Thomas Scholfield,farmer,australian,1894,1894,10,Thomas Scholfield was a australian farmer. When was Thomas Scholfield born.
574,Naga Munchetty,Naga Munchetty,"journalist , presenter ,",british,1975,1975,38,"Naga Munchetty was a british journalist , presenter ,. When was Naga Munchetty born."
575,Rindert Kromhout,Rindert Kromhout,author,dutch,1958,1958,2,Rindert Kromhout was a dutch author. When was Rindert Kromhout born.
576,Ira North,Ira North,preacher,usa,1922,1922,2,Ira North was a usa preacher. When was Ira North born.
577,K. J. Rao,K. J. Rao,civil servant -lrb- eci -rrb-,indian,1942,1942,6,K. J. Rao was a indian civil servant -lrb- eci -rrb-. When was K. J. Rao born.
578,Daisy Hernández Gaytán,Daisy Hernández Gaytán,politician,mexican,1983,1983,1,Daisy Hernández Gaytán was a mexican politician. When was Daisy Hernández Gaytán born.
579,Craig Federighi,Craig Federighi,svp of software engineering at apple inc,us,1970,1969,40,Craig Federighi was a us svp of software engineering at apple inc. When was Craig Federighi born.
580,Warren Murphy,Warren Murphy,writer,american,1933,1933,14,Warren Murphy was a american writer. When was Warren Murphy born.
581,Joe Madiath,Joe Madiath,executive director of gram vikas,indian,1950,1950,22,Joe Madiath was a indian executive director of gram vikas. When was Joe Madiath born.
582,Eduardo Abaroa,Eduardo Abaroa,engineer,bolivian,1838,1838,0,Eduardo Abaroa was a bolivian engineer. When was Eduardo Abaroa born.
583,Abdul Ahad Mohmand,Abdul Ahad Mohmand,pilot,afghan,1959,1959,0,Abdul Ahad Mohmand was a afghan pilot. When was Abdul Ahad Mohmand born.
584,Edward Curtis Franklin,Edward Curtis Franklin,chemist,united states,1862,1862,4,Edward Curtis Franklin was a united states chemist. When was Edward Curtis Franklin born.
585,Santos Acosta,Santos Acosta,"physician rector , soldier -lrb- general -rrb- , politician ,",colombian,1828,1828,3,"Santos Acosta was a colombian physician rector , soldier -lrb- general -rrb- , politician ,. When was Santos Acosta born."
586,Kalyan Kumar,Kalyan Kumar,"actor , film director , producer",india,1928,1928,10,"Kalyan Kumar was a india actor , film director , producer. When was Kalyan Kumar born."
587,Samuel Winter Martien,Samuel W. Martien,cotton planter,american,1854,1854,16,Samuel Winter Martien was a american cotton planter. When was Samuel Winter Martien born.
588,Frona Eunice Wait Colburn,Frona Eunice Wait,author,us,1859,1859,27,Frona Eunice Wait Colburn was a us author. When was Frona Eunice Wait Colburn born.
589,Temba Tsheri,Temba Tsheri,"mountaineer , expedition guiding company director",nepalese,1985,1985,2,"Temba Tsheri was a nepalese mountaineer , expedition guiding company director. When was Temba Tsheri born."
590,Yvon Brochu,Yvon Brochu,"psychologist , translator , minister",canadian,1944,1944,1,"Yvon Brochu was a canadian psychologist , translator , minister. When was Yvon Brochu born."
591,Rebecca Lee,Rebecca Lee (writer),novelist,american,1967,1967,4,Rebecca Lee was a american novelist. When was Rebecca Lee born.
592,Thomas Nowell,Thomas Nowell,historian and theologian,british,1730,1730,0,Thomas Nowell was a british historian and theologian. When was Thomas Nowell born.
593,Charles Coxen,Charles Coxen,"grazier , museum administrator , ornithologist",english,1809,1809,3,"Charles Coxen was a english grazier , museum administrator , ornithologist. When was Charles Coxen born."
594,Matthew Norman,Matthew Norman,caterer,australian,1986,1986,31,Matthew Norman was a australian caterer. When was Matthew Norman born.
595,Mary Wells Lawrence,Mary Wells Lawrence,advertising executive,usa,1928,1928,23,Mary Wells Lawrence was a usa advertising executive. When was Mary Wells Lawrence born.
596,Joe Swift,Joe Swift,"broadcaster , gardener , journalist",british,1965,1965,7,"Joe Swift was a british broadcaster , gardener , journalist. When was Joe Swift born."
597,Yoram Ben-Zeev,Yoram Ben-Zeev,diplomat,israel,1944,1944,9,Yoram Ben-Zeev was a israel diplomat. When was Yoram Ben-Zeev born.
598,Jeanne Eagels,Jeanne Eagels,actress,american,1890,1890,24,Jeanne Eagels was a american actress. When was Jeanne Eagels born.
599,Jannat Zubair Rahmani,Jannat Zubair Rahmani,child actress,indian,2002,2001,74,Jannat Zubair Rahmani was a indian child actress. When was Jannat Zubair Rahmani born.
600,Parnell Hall,Parnell Hall (writer),"novelist , short story writer",united states,1944,1944,5,"Parnell Hall was a united states novelist , short story writer. When was Parnell Hall born."
601,Peter Mugyenyi,Peter Mugyenyi,"physician , hiv/aids researcher , medical administrator & author",ugandan,1945,1949,13,"Peter Mugyenyi was a ugandan physician , hiv/aids researcher , medical administrator & author. When was Peter Mugyenyi born."
602,Emilia Gómez Bravo,Emilia Gómez Bravo,politician,mexican,1954,1954,1,Emilia Gómez Bravo was a mexican politician. When was Emilia Gómez Bravo born.
603,Meinrad Lienert,Meinrad Lienert,"writer , poet , journalist",swiss,1865,1865,0,"Meinrad Lienert was a swiss writer , poet , journalist. When was Meinrad Lienert born."
604,Paul Gondard,Paul Gondard,sculptor,french,1884,1884,18,Paul Gondard was a french sculptor. When was Paul Gondard born.
605,Jesselyn Radack,Jesselyn Radack,attorney,american,1970,1970,110,Jesselyn Radack was a american attorney. When was Jesselyn Radack born.
606,Christopher Guarin,Christopher Guarin,"publisher , radio station manager and commentator",filipino,1970,1970,64,"Christopher Guarin was a filipino publisher , radio station manager and commentator. When was Christopher Guarin born."
607,Tony Dron,Tony Dron,"racing driver , writer",british,1946,1946,6,"Tony Dron was a british racing driver , writer. When was Tony Dron born."
608,Denver Beanland,Denver Beanland,bank officer,australian,1945,1945,14,Denver Beanland was a australian bank officer. When was Denver Beanland born.
609,Adela Zamudio,Adela Zamudio,"poet , teacher , activist",bolivian,1854,1854,30,"Adela Zamudio was a bolivian poet , teacher , activist. When was Adela Zamudio born."
610,Sabine Klewe,Sabine Klewe,writer,germany,1966,1966,6,Sabine Klewe was a germany writer. When was Sabine Klewe born.
611,Jancis Robinson,Jancis Robinson,wine critic,british,1950,1950,21,Jancis Robinson was a british wine critic. When was Jancis Robinson born.
612,Noel Slevin,Noel Slevin,journalist,irish,1954,1954,1,Noel Slevin was a irish journalist. When was Noel Slevin born.
613,Lav Mirski,Lav Mirski,conductor,croat,1893,1893,10,Lav Mirski was a croat conductor. When was Lav Mirski born.
614,Mathieu Da Costa,Mathieu de Costa,translator and explorer,canadian,,1589,0,Mathieu Da Costa was a canadian translator and explorer. When was Mathieu Da Costa born.
615,Barbara Browning,Barbara Browning,"professor , cultural critic , novelist , performer",american,1961,1961,12,"Barbara Browning was a american professor , cultural critic , novelist , performer. When was Barbara Browning born."
616,Roy Clarke Obe,Roy Clarke,scriptwriter,british,1930,1930,13,Roy Clarke Obe was a british scriptwriter. When was Roy Clarke Obe born.
617,Emmanuel Nayabtigungu Congo Kaboré,Nayabtigungu Congo Kaboré,politician,burkinabé,1948,1948,1,Emmanuel Nayabtigungu Congo Kaboré was a burkinabé politician. When was Emmanuel Nayabtigungu Congo Kaboré born.
618,Pavel Branko,Pavel Branko,film critic,slovak,1921,1921,26,Pavel Branko was a slovak film critic. When was Pavel Branko born.
619,Takiko Mizunoe,Takiko Mizunoe,"actress , film producer , presenter",japanese,1915,1915,17,"Takiko Mizunoe was a japanese actress , film producer , presenter. When was Takiko Mizunoe born."
620,Anthony James Barr,Anthony James Barr,"programming language designer , software engineer , inventor",american,1940,1940,27,"Anthony James Barr was a american programming language designer , software engineer , inventor. When was Anthony James Barr born."
621,Lidia Peralta García,Lidia Peralta García,journalist and documentary filmmaker,spanish,1970,1970,4,Lidia Peralta García was a spanish journalist and documentary filmmaker. When was Lidia Peralta García born.
622,Giacomo Bove,Giacomo Bove,explorer,italian,1852,1852,46,Giacomo Bove was a italian explorer. When was Giacomo Bove born.
623,Ram Singh Yadav,Ram Singh Yadav,havildar -lrb- indian army -rrb-,indian,1980,1984,10,Ram Singh Yadav was a indian havildar -lrb- indian army -rrb-. When was Ram Singh Yadav born.
624,Lavínia Vlasak,Lavínia Vlasak,actress,brazilian,1976,1976,20,Lavínia Vlasak was a brazilian actress. When was Lavínia Vlasak born.
625,Laura Smyth,Laura Smyth,lawyer,australian,1976,1976,2,Laura Smyth was a australian lawyer. When was Laura Smyth born.
626,Stephen Estcourt,Stephen Estcourt,lawyer,australian,1953,1953,26,Stephen Estcourt was a australian lawyer. When was Stephen Estcourt born.
627,Rubén Zarazúa Rocha,Rubén Zarazúa Rocha,politician,mexican,1941,1941,1,Rubén Zarazúa Rocha was a mexican politician. When was Rubén Zarazúa Rocha born.
628,Armin Dassler,Armin Dassler,entrepreneur,german,1929,1929,3,Armin Dassler was a german entrepreneur. When was Armin Dassler born.
629,Laureana Wright De Kleinhans,Laureana Wright de Kleinhans,feminist,mexican,1846,1846,26,Laureana Wright De Kleinhans was a mexican feminist. When was Laureana Wright De Kleinhans born.
630,Tadataka `` Tachi '' Yamada,Tachi Yamada,"physician , gastroenterologist , pharmaceutical executive",japan / usa,1945,1945,6,"Tadataka `` Tachi '' Yamada was a japan / usa physician , gastroenterologist , pharmaceutical executive. When was Tadataka `` Tachi '' Yamada born."
631,Sammy Sheik,Sammy Sheik,actor,egyptian,1981,1981,1,Sammy Sheik was a egyptian actor. When was Sammy Sheik born.
632,Alfred Adler,Alfred Adler,"psychotherapist , psychiatrist",austrian,1870,1870,78,"Alfred Adler was a austrian psychotherapist , psychiatrist. When was Alfred Adler born."
633,José Sáinz Nothnagel,José Sainz Nothnagel,regional sales manager,spanish,1907,1907,22,José Sáinz Nothnagel was a spanish regional sales manager. When was José Sáinz Nothnagel born.
634,Yakiv Holovatsky,Yakiv Holovatsky,"historian bibliographer , lexicographer , poet , priest , and pedagogue , literary scholar , ethnographer , linguist ,",halycian,1814,1814,0,"Yakiv Holovatsky was a halycian historian bibliographer , lexicographer , poet , priest , and pedagogue , literary scholar , ethnographer , linguist ,. When was Yakiv Holovatsky born."
635,Sunil Janah,Sunil Janah,photographer,indian,1918,1918,14,Sunil Janah was a indian photographer. When was Sunil Janah born.
636,Kuya Cesar,Cesar Lacbu Nucum,"radio construction painter announcer , construction worker , balot vendor ,",filipino,1938,1938,17,"Kuya Cesar was a filipino radio construction painter announcer , construction worker , balot vendor ,. When was Kuya Cesar born."
637,George Padmore,George Padmore,"journalist , author , pan-africanist",trinidadian,1903,1903,62,"George Padmore was a trinidadian journalist , author , pan-africanist. When was George Padmore born."
638,Xu Yongsheng Zh-Hans-Cn 许永盛,Xu Yongsheng,politician,chinese,1966,1966,3,Xu Yongsheng Zh-Hans-Cn 许永盛 was a chinese politician. When was Xu Yongsheng Zh-Hans-Cn 许永盛 born.
639,Yan Huo,Yan Huo,co-founder of capula investment management,american,1968,1968,15,Yan Huo was a american co-founder of capula investment management. When was Yan Huo born.
640,Susana Hurtado Vallejo,Susana Hurtado Vallejo,politician,mexican,1963,1963,1,Susana Hurtado Vallejo was a mexican politician. When was Susana Hurtado Vallejo born.
641,Nat Hentoff,Nat Hentoff,"columnist , historian , novelist , music critic",american,1925,1925,132,"Nat Hentoff was a american columnist , historian , novelist , music critic. When was Nat Hentoff born."
642,Edouard Pycke,Edouard Pycke,politician,belgium,1807,1807,2,Edouard Pycke was a belgium politician. When was Edouard Pycke born.
643,Jani Toivola,Jani Toivola,"actor , dancer",finnish,1977,1977,4,"Jani Toivola was a finnish actor , dancer. When was Jani Toivola born."
644,John Morgan Davis,John Morgan Davis,"judge , politician",american,1906,1906,2,"John Morgan Davis was a american judge , politician. When was John Morgan Davis born."
645,Shikha Sharma,Shikha Sharma,banker,indian,1958,1958,31,Shikha Sharma was a indian banker. When was Shikha Sharma born.
646,Slobodan Bajić Paja,Slobodan Bajić Paja,"partisan fighter , author of the manifestos",yugoslav,1916,1916,20,"Slobodan Bajić Paja was a yugoslav partisan fighter , author of the manifestos. When was Slobodan Bajić Paja born."
647,Will Henry Stevens,Will Henry Stevens,modernist painter and naturalist,american,1881,1881,33,Will Henry Stevens was a american modernist painter and naturalist. When was Will Henry Stevens born.
648,Mercedes Colín Guadarrama,Mercedes Colín Guadarrama,politician,mexican,1967,1967,1,Mercedes Colín Guadarrama was a mexican politician. When was Mercedes Colín Guadarrama born.
649,Sarah Kay,Sarah Kay (poet),poet,american,1988,1988,22,Sarah Kay was a american poet. When was Sarah Kay born.
650,Ernest Holloway Oldham,Ernest Holloway Oldham,soldier civil servant spy,united kingdom 23px,1894,1894,1,Ernest Holloway Oldham was a united kingdom 23px soldier civil servant spy. When was Ernest Holloway Oldham born.
651,Jerry Michael Linenger,Jerry M. Linenger,medical doctor,american,1955,1955,4,Jerry Michael Linenger was a american medical doctor. When was Jerry Michael Linenger born.
652,Peter Ruckman,Peter Ruckman,"pastor , teacher",american,1921,1921,28,"Peter Ruckman was a american pastor , teacher. When was Peter Ruckman born."
653,Daniel Horowitz,Daniel Horowitz,lawyer,united states,1954,1954,52,Daniel Horowitz was a united states lawyer. When was Daniel Horowitz born.
654,Kjersti Alveberg,Kjersti Alveberg,"choreographer , dancer , film director , artistic director",norwegian,1948,1948,20,"Kjersti Alveberg was a norwegian choreographer , dancer , film director , artistic director. When was Kjersti Alveberg born."
655,George Loane Tucker,George Loane Tucker,"film editor director , actor , producer , screenwriter ,",american,1880,1872,18,"George Loane Tucker was a american film editor director , actor , producer , screenwriter ,. When was George Loane Tucker born."
656,John F. Gregory,John F. Gregory,optical engineer,american,1927,1927,6,John F. Gregory was a american optical engineer. When was John F. Gregory born.
657,Chester Gould,Chester Gould,"cartoonist , writer",american,1900,1900,34,"Chester Gould was a american cartoonist , writer. When was Chester Gould born."
658,Mark Jenkins,Mark Jenkins (actor),actor,american,1943,1943,1,Mark Jenkins was a american actor. When was Mark Jenkins born.
659,Jack Bickham,Jack Bickham,writer,american,1930,1930,1,Jack Bickham was a american writer. When was Jack Bickham born.
660,Ramón Ponce Contreras,Ramón Ponce Contreras,politician,mexican,1956,1956,1,Ramón Ponce Contreras was a mexican politician. When was Ramón Ponce Contreras born.
661,George Sluizer,George Sluizer,film editor · author director · film producer · screenwriter · film,dutch,1932,1932,9,George Sluizer was a dutch film editor · author director · film producer · screenwriter · film. When was George Sluizer born.
662,Adolf Dassler,Adolf Dassler,entrepreneur,german,1900,1900,83,Adolf Dassler was a german entrepreneur. When was Adolf Dassler born.
663,Cyril Mann,Cyril Mann,painter and sculptor,british,1911,1911,21,Cyril Mann was a british painter and sculptor. When was Cyril Mann born.
664,Sami Yusuf,Sami Yusuf,musician composer producer multi-instrumentalist singer-songwriter,british,1980,1980,98,Sami Yusuf was a british musician composer producer multi-instrumentalist singer-songwriter. When was Sami Yusuf born.
665,James Stanton,James Stanton (water Polo),water polo player,australian,1983,1983,6,James Stanton was a australian water polo player. When was James Stanton born.
666,Rodrigo Reina Liceaga,Rodrigo Reina Liceaga,politician,mexican,1973,1973,1,Rodrigo Reina Liceaga was a mexican politician. When was Rodrigo Reina Liceaga born.
667,Wan Laisheng,Wan Laisheng,"martial artist , professor , writer",chinese,1903,1903,10,"Wan Laisheng was a chinese martial artist , professor , writer. When was Wan Laisheng born."
668,Peggy Elaine Hussey Webb,Peggy Webb,novelist,american,1942,1942,5,Peggy Elaine Hussey Webb was a american novelist. When was Peggy Elaine Hussey Webb born.
669,Lien Deyers,Lien Deyers,actor,dutch,1909,1909,5,Lien Deyers was a dutch actor. When was Lien Deyers born.
670,John Christopher,John Christopher,writer,british,1922,1922,15,John Christopher was a british writer. When was John Christopher born.
671,Niels Annen,Niels Annen,"politician -rrb- , member of the german bundestag -lrb- mp",germany,1973,1973,57,"Niels Annen was a germany politician -rrb- , member of the german bundestag -lrb- mp. When was Niels Annen born."
672,Aimé Clariond,Aimé Clariond,actor,france,1894,1894,0,Aimé Clariond was a france actor. When was Aimé Clariond born.
673,Nayla Tueni نايلة تويني,Nayla Tueni,"journalist , parliamentarian",lebanese,1982,1982,5,"Nayla Tueni نايلة تويني was a lebanese journalist , parliamentarian. When was Nayla Tueni نايلة تويني born."
674,Pamela Jean Scheunemann Chenevert,Pam Scheunemann,"writer , production manager",american,1955,1955,1,"Pamela Jean Scheunemann Chenevert was a american writer , production manager. When was Pamela Jean Scheunemann Chenevert born."
675,Gustavo Mendívil Amparán,Gustavo Mendívil Amparán,politician,mexican,1960,1960,1,Gustavo Mendívil Amparán was a mexican politician. When was Gustavo Mendívil Amparán born.
676,Dànilo Mainardi,Danilo Mainardi,"ethologist , scholar and writer",italian,1933,1933,0,"Dànilo Mainardi was a italian ethologist , scholar and writer. When was Dànilo Mainardi born."
677,Sayuti Melik,Sayuti Melik,reporter politician,indonesia,1908,1908,3,Sayuti Melik was a indonesia reporter politician. When was Sayuti Melik born.
678,Emmanuel Amey Ojara,Emmanuel Amey Ojara,"medical doctor , surgeon & university lecturer",ugandan,1944,1944,9,"Emmanuel Amey Ojara was a ugandan medical doctor , surgeon & university lecturer. When was Emmanuel Amey Ojara born."
679,Albert Henry Stopford,Albert Stopford,antiques/arts dealer,british,1860,1860,20,Albert Henry Stopford was a british antiques/arts dealer. When was Albert Henry Stopford born.
680,Guillermo Del Valle,Guillermo del Valle,politician,mexican,1964,1964,1,Guillermo Del Valle was a mexican politician. When was Guillermo Del Valle born.
681,Leila Antionette Sterling Mackinlay,Leila Mackinlay,novelist,british,1910,1910,3,Leila Antionette Sterling Mackinlay was a british novelist. When was Leila Antionette Sterling Mackinlay born.
682,Lothrop Stoddard,Lothrop Stoddard,"scientist , historian , journalist , eugenicist",american,1883,1883,40,"Lothrop Stoddard was a american scientist , historian , journalist , eugenicist. When was Lothrop Stoddard born."
683,Dr.Vashishtha Narayan Singh,Vashishtha Narayan Singh,mathematician,indian,1942,1946,34,Dr.Vashishtha Narayan Singh was a indian mathematician. When was Dr.Vashishtha Narayan Singh born.
684,T. K. Balachandran,T. K. Balachandran,film actor,indian,1928,1928,4,T. K. Balachandran was a indian film actor. When was T. K. Balachandran born.
685,Serena Autieri,Serena Autieri,"singer , actress",italian,1976,1976,1,"Serena Autieri was a italian singer , actress. When was Serena Autieri born."
686,Margo Glantz,Margo Glantz,"writer , essayist , literary critic , academic",mexican,1930,1930,2,"Margo Glantz was a mexican writer , essayist , literary critic , academic. When was Margo Glantz born."
687,Robert Dean Frisbie,Robert Dean Frisbie,"novelist , travel writer , trading station operator",american,1896,1896,9,"Robert Dean Frisbie was a american novelist , travel writer , trading station operator. When was Robert Dean Frisbie born."
688,Oskar Alexander,Oskar Alexander,painter,croat,1876,1876,10,Oskar Alexander was a croat painter. When was Oskar Alexander born.
689,John Booth,John Booth (motor Racing),formula one team principal,british,1954,1954,6,John Booth was a british formula one team principal. When was John Booth born.
690,Gordon Reid,Gordon Reid (governor),clerk,australian,1923,1923,4,Gordon Reid was a australian clerk. When was Gordon Reid born.
