,name,search_query,occupation,nationality,birth_year,wikipedia_birth_year,citation,description
170,Carmen Kurtz,Carmen Kurtz,author,spanish,1911,1911,1,"carmen kurtz -lrb- barcelona , 18 september 1911 - 5 february 1999 -rrb- was a catalan writer , who wrote under the name of her husband , pedro kurtz , in spanish .
winner of various literary prizes - including the planeta , and others , she made her name as a writer during the 1960s with a series of children 's books featuring the main character , a boy called Óscar , who had a pet goose named kina .
"
171,M. Schuyler Towne,Schuyler Towne,graphic designer,american,1983,1983,31,"m. schuyler towne -lrb- born december 16 , 1983 -rrb- is a competitive lockpicker and pioneer of the american locksport movement .
he was `` first introduced to lockpicking at the 2006 hackers on planet earth conference in new york . ''
at that conference towne became one of the founding board members of the open organization of lockpickers us chapter and in 2007 he launched non-destructive entry magazine .
towne has competed in the dutch open at lockcon in the netherlands and both spoken and competed at def con in las vegas .
"
172,Irvin C. Miller,Irvin C. Miller,"vaudeville entertainer , playwright , theatre producer",u.s.,1884,1884,23,"irvin colloden miller -lrb- february 19 , 1884 -- february 27 , 1975 -rrb- was an african-american actor , playwright and vaudeville show writer and producer .
he was responsible for successful theater shows including `` broadway rastus '' -lrb- 1921 -rrb- , `` liza '' -lrb- 1922 -rrb- , `` dinah '' -lrb- 1923 -rrb- , which introduced the wildly popular black bottom dance , and `` desires of 1927 '' -lrb- 1926 - 1927 -rrb- starring adelaide hall and for thirty years he directed the popular review , `` brown skin models '' , influenced by the `` ziegfeld follies '' but exclusively using black performers .
`` in the 1920s and 1930s , he was arguably the most well-established and successful producer of black musical comedy . ''
"
173,Carlos Cardoen,Carlos Cardoen,"businessman , metallurgical engineer , and weapon scientist",chilean,1942,1942,9,"carlos remigio cardoen cornejo -lrb- born in santa cruz , chile , may 1 , 1942 -rrb- , is a chilean metallurgical engineer , weapons scientist and agricultural businessman .
"
174,Hwang Min-Woo,Hwang Min-Woo,"actor , dancer , singer",south korean,2005,2005,0,"hwang min-woo -lrb- born october 17 , 2005 .
also known as little psy -rrb- is a vietnamese-south korean child actor , singer and dancer , he is best known for his appearance in the video for the 2012 international hit single `` gangnam style '' .
"
175,James R. Russell,James R. Russell,professor at harvard university,usa,1953,1953,17,"`` for other uses , see : james russell -lrb- disambiguation -rrb- '' .
james robert russell -lrb- born in october , 1953 , new york city -rrb- is a scholar and professor in ancient near eastern , iranian and armenian studies .
he has published extensively in journals , and has written several books .
he is the mashtots professor of armenian studies at department of near eastern languages and civilizations at harvard university , and sits on the executive committee of davis center for russian and eurasian studies .
"
176,Divna M. Vuksanović,Divna M. Vuksanović,"philosopher , writer",serbian,1965,1965,2,"divna m. vuksanović -lrb- serbian cyrillic : Дивна М .
Вуксановић ; 17 march 1965 -rrb- is a serbian philosopher , writer , media theorist and president of the aesthetic society of serbia .
"
177,Hakainde Hichilema,Hakainde Hichilema,businessman,zambian,1962,1962,75,"hakainde hichilema -lrb- born 4 june 1962 -rrb- is a zambian businessman and politician serving as president of the opposition united party for national development .
he is a perennial presidential candidate having contested four times in 2006 , 2008 , 2011 and most recently 2015 .
"
178,Vincent Woods,Vincent Woods,writer,irish,1960,1960,8,"vincent woods -lrb- born 1960 -rrb- is an irish poet and playwright .
he currently hosts `` the arts show '' on rtÉ radio 1 .
"
179,Margaret Mahy,Margaret Mahy,"writer , librarian",new zealand,1936,1936,63,"margaret mahy , onz -lrb- 21 march 1936 -- 23 july 2012 -rrb- was a new zealand author of children 's and young adult books .
many of her story plots have strong supernatural elements but her writing concentrates on the themes of human relationships and growing up .
she wrote more than 100 picture books , 40 novels and 20 collections of short stories .
at her death she was one of thirty writers to win the biennial , international hans christian andersen medal for her `` lasting contribution to children 's literature '' .
mahy won the annual carnegie medal from the library association , recognising the year 's best children 's book by a british subject , both for `` the haunting '' -lrb- 1982 -rrb- and for `` the changeover '' -lrb- 1984 -rrb- .
-lrb- as of 2012 seven writers have won two carnegies , none three . -rrb-
she was also a highly commended runner up for `` memory '' -lrb- 1987 -rrb- .
among her children 's books , `` a lion in the meadow '' and `` the seven chinese brothers '' and `` the man whose mother was a pirate '' are considered national classics .
her novels have been translated into german , french , spanish , dutch , norwegian , danish , swedish , finnish , italian , japanese , catalan and afrikaans .
in addition , some stories have been translated into russian , chinese and icelandic .
"
180,Sarah Kay,Sarah Kay (poet),poet,american,1988,1988,22,"sarah kay -lrb- born june 19 , 1988 -rrb- is an american poet .
known for her spoken word poetry , kay is the founder and co-director of project v.o.i.c.e. , founded in 2004 , a group dedicated to using spoken word as an educational and inspirational tool .
"
181,Teofil Lenartowicz,Teofil Lenartowicz,"poet , publicist , ethnographer",polish,1822,1822,12,"teofil aleksander lenartowicz -lrb- 27 february 1822 in warsaw -- 3 february 1893 in florence -rrb- was a polish ethnographer , sculptor , poet and romantic conspirator .
linked to bohemians among warsaw intellectuals , lenartowicz was associated with oskar kolberg and roman zmorski in the anti-tsarist independence movement , and participated in the greater poland uprising of 1848 during his stay in kraków .
while in exile he taught slavic literature at the university of bologna , composed patriotic and religious poems , as well as lyrical and historical epics based on the folklore of his beloved region of mazowsze .
he did portrait-sculptures , and designed tombstones .
teofil aleksander came from the master mason family of lenartowicz `` pobóg coat of arms '' .
he was the son of karol and maria `` née '' kwasieborska `` cholewa '' coat of arms .
while in florence , he married sculptor zofia szymanowska `` młodzian '' coa , with whom he had a son john -lrb- jan -rrb- .
his remains were brought from italy to poland and interred in the crypt of the distinguished in the st. stanislaus church at skałka in kraków .
"
182,John Orchard,John Orchard,actor,british,1928,1928,0,"john orchard -lrb- 15 november 1928 - 3 november 1995 -rrb- was an english actor .
he is probably best remembered for playing anaesthetist `` ugly john '' black in the earlier episodes of `` m * a * s * h '' .
"
183,Tanita Tikaram,Tanita Tikaram,singer-songwriter,british,1969,1969,15,"tanita tikaram -lrb- born 12 august 1969 -rrb- is a german-born british pop/folk singer-songwriter .
she achieved chart success with the singles `` twist in my sobriety '' and `` good tradition '' from her 1988 debut album , `` ancient heart '' .
she is known for her powerful , husky voice , and poetic and somewhat obscure lyrics .
"
184,Clive Coates,Clive Coates,wine writer,british,1941,1941,9,"clive coates is a british wine writer and master of wine , best known for his books about the wines of burgundy .
"
185,Beatrice Roberts,Beatrice Roberts,actress,american,1905,1905,8,"alice beatrice roberts -lrb- march 7 , 1905 -- july 24 , 1970 -rrb- was an american film actress .
she was briefly married to the cartoonist and showman robert l. ripley .
"
186,'' ` Alice Dixson '' ',Alice Dixson,"actress , model , realtor",filipino and american -lrb- dual -rrb-,1969,1969,3,"alice dixson -lrb- born july 28 , 1969 , jessie alice celones dixson -rrb- or often misspelled alice dixon , is a filipino-american actress , commercial model , and former beauty queen .
born to an american father and a filipino mother , she was the philippines ' representative for miss international in 1986 and became a household name in 1987 through a palmolive soap tv commercial where she sang the phrase '' `` i can feel it ! '' '' .
after joining a talent contest in `` eat bulaga ! ''
and binibining pilipinas , her show business career started with the role of faye , a fairy princess , who fell in love with an earthling in `` okay ka , fairy ko '' .
at that time , eat bulaga !
was airing on rpn and one of its hosts , vic sotto , requested her to be part of the tv series -lrb- he is the owner of m-zet productions that produced `` okay ka , fairy ko '' -rrb- .
in january 2011 , she returned to show business via `` babaeng hampaslupa '' which aired on tv5 .
this was succeeded with `` glamorosa '' , `` isang dakot na luha '' -lrb- 2012 -rrb- , `` enchanted garden '' -lrb- 2012 -rrb- and two movies `` ang panday 2 '' -lrb- 2011 -rrb- and `` just one summer '' -lrb- 2012 -rrb- .
her next tv series is `` never say goodbye '' which airs in january 2013 on tv5 .
dixson is a licensed realtor in the province of british columbia , canada and also a licensed real estate agent in the state of florida , usa .
dixson is also known for her best actress roles in many viva films favorites such as `` hanggang saan , hanggang kailan '' -lrb- 1993 -rrb- , `` sa isang sulok ng pangarap '' -lrb- 1994 , based on the popular comics series by rj nuevas -rrb- , `` pangako ng kahapon '' -lrb- 1994 -rrb- , `` sana dalawa ang puso ko '' -lrb- 1995 -rrb- and the all-star cast of the action film `` silakbo '' -lrb- 1995 -rrb- with cesar montano , anjanette abayari and marjorie barretto .
dixson is also a film favorite when she was paired with christopher de leon in films like `` my husband 's woman '' -lrb- 1993 -rrb- , `` bakit ngayon ka lang '' -lrb- 1994 , octoarts films -rrb- and `` pahiram kahit sandali '' -lrb- 1999 , regal films -rrb- , which was an r-rated but critically acclaimed film because of both leading woman 's portrayals by dixson and ara mina , earning credit for director maryo j. delos reyes .
she reunited with de leon and leading man richard gomez in the hit telenovela `` ang iibigin ay ikaw '' -lrb- 2002 to 2005 -rrb- .
in december 2013 , she pose for fhm philippines , making her the oldest woman to cover on that men 's magazine , at age 44 .
"
187,Jamie Hendry,Jamie Hendry,theatre producer,british,1985,1985,14,"jamie hendry is a british west end theatre producer .
"
188,B. Sriramulu,B. Sriramulu,politician,indian,1971,1971,9,"b. sriramulu -lrb- born 8 august 1971 -rrb- is an indian politician and a member of the 16th lok sabha representing bellary lok sabha constituency .
he was a member of the current karnataka legislative assembly representing bellary rural constituency .
he was health and family welfare minister in the government of karnataka till september 2011 .
"
189,Jason Rubin,Jason Rubin,co-founder 2004 -rrb- president of thq -lrb- 2012 -- 2013 -rrb- and co-president of naughty dog -lrb- 1984 --,american,1970,1970,38,"jason rubin -lrb- born 1970 -rrb- is an american video game director , comic book creator , and internet company founder .
he is best known for the `` crash bandicoot '' series of games which were produced by naughty dog , the game development studio he co-founded with partner and childhood friend andy gavin in 1986 .
he was the president of thq before its closure due to bankruptcy on january 23 , 2013 .
"
190,Marshall Cogan,Marshall Cogan,"investment banker , private equity investor",united states,1937,1937,19,"marshall s. cogan is an american investor and entrepreneur and former financier and trader .
cogan was the founder of united automotive group , which he built into one of the largest retailers of cars and trucks in the u.s. .
as a private equity investor , cogan acquired a number of businesses in the 1970s and 1980s .
he was also a partner of cogan , berlind , weill & levitt an investment banking and brokerage firm that would be instrumental in the consolidation of the financial services industry in the 1970s .
"
191,Gerald Kean,Gerald Kean,solicitor,irish,1957,1957,18,"gerald kean -lrb- born in cork in 1957 -rrb- is an irish celebrity solicitor from county cork .
he is regularly the subject of social columns , particularly in the sunday newspapers which have reported his lavish spending sprees and sun holidays involving his wife and other people , with `` the irish times '' once describing him as having a `` celestial odour '' .
he has appeared in numerous television shows including `` prime time '' , `` tubridy tonight '' , `` the afternoon show '' , `` the podge and rodge show '' , `` the restaurant '' and `` the panel '' and on radio shows such as `` the marian finucane show '' .
kean competed in the first season of `` celebrity bainisteoir '' , finishing second to marty whelan .
he later wrote a book about his experience .
the book features several photos of kean , with the english association footballer alan shearer being employed to write the foreword .
"
192,Liviu Rebreanu,Liviu Rebreanu,"writer , playwright",romanian,1885,1885,1,"liviu rebreanu -lrb- ; november 27 , 1885 -- september 1 , 1944 -rrb- was a romanian novelist , playwright , short story writer , and journalist .
"
193,Thein Oo,Thein Oo,engineer,burmese,1948,1994,2,"thein oo -lrb- ; born 10 may 1948 -rrb- is a pioneer of myanmar 's computer industry , and president of the myanmar computer federation -lrb- a semi-governmental nonprofit organization -rrb- .
and also the president of ace data systems , -lrb- ace group of companies . -rrb-
"
194,Helge Schneider,Helge Schneider,"comedian film and theatre director , jazz musician , actor , author ,",german,1955,1955,1,"helge schneider -lrb- born 30 august 1955 in mülheim an der ruhr -rrb- is a german comedian , jazz musician and multi-instrumentalist , author , film and theatre director , and actor .
schneider 's works are an unconventional mixture of horseplay humor , parody , and jazz-influenced music .
they involve spontaneity and improvisation as important elements .
"
195,Jean Barbeyrac,Jean Barbeyrac,professor of law,french,1674,1674,0,"jean barbeyrac -lrb- ; 15 march 1674 -- 3 march 1744 -rrb- was a french jurist .
"
196,Mohamed A. El-Erian,Mohamed A. El-Erian,former ceo of pimco,french egyptian american,1958,1958,70,"mohamed a. el-erian -lrb- ; born august 19 , 1958 -rrb- is chief economic adviser at allianz , a multinational financial services company .
he is the former ceo and co-chief investment officer at pimco , a global investment firm and one of the world 's largest bond investors , with approximately $ 2 trillion in assets under management as of december 2013 .
pimco is a company of allianz .
el-erian serves as chair of president obama 's global development council .
he is a columnist for bloomberg view , as well as contributing editor to the `` financial times '' and a member of their a list .
he is also a regular contributor to `` project syndicate '' , `` business insider '' as well as fortune/cnn and foreign policy .
he is currently on the panel of experts that is judging the `` financial times '' / mckinsey business book of the year for 2015 having also served on the same panel in 2014 .
as ceo of pimco , el-erian was responsible for setting the strategic direction of the firm and leading its operations globally .
as co-cio with pimco cofounder bill gross , el-erian oversaw investment policies and strategies for all of the company 's portfolio management activities .
he re-joined pimco at the end of 2007 after serving for two years as president and ceo of harvard management company , the entity that manages harvard 's endowment and related accounts .
he served as a member of the faculty of harvard business school .
he is currently a member of the harvard global advisory council .
el-erian first joined pimco in 1999 and was a senior member of their portfolio management and investment strategy group .
before coming to pimco , he was a managing director at citigroup in london .
before that he spent 15 years at the international monetary fund in washington , d.c. , where he served as deputy director .
on december 21 , 2012 , president obama announced the appointment of el-erian as the chair of the president 's global development council .
"
197,Mark Friedman,Mark Friedman,"author '' ; director , fiscal policy studies institute ; senior , fellow , center for the study of social policy `` trying hard is not good enough",american,1948,1995,33,"mark friedman is an american writer .
he is the author of the book `` trying hard is not good enough : how to produce measurable improvements for customers and communities '' .
he is the director of the fiscal policy studies institute in santa fe , new mexico , best known for his international work on results-based accountability -lrb- rba -rrb- , also known in the united kingdom and australia as outcomes-based accountability -lrb- oba -rrb- , a framework for turning data into action .
the rba approach has been applied to improve services in over 40 us states and countries including australia , canada , ireland , new zealand , the netherlands , norway and the uk .
"
198,Helena Araújo,Helena Araújo,"literary critic , professor",colombian-swiss,1934,1934,8,"helena araújo ortiz -lrb- 20 january 1934 - 2 february 2015 -rrb- was a writer and an international professor of latin american literature and women 's studies .
her works of literary criticism have appeared in various latin american and european literary journals .
"
199,Amalia Aguilar,Amalia Aguilar,"actress , dancer and singer",mexican cuban,1924,1924,8,"amalia aguilar -lrb- matanzas , cuba july 3 , 1924 -rrb- is a cuban born mexican film actress and dancer of the golden age of mexican cinema in the 1940s and 1950s .
she was considered one of the icons of the `` rumberas film .
"
